0|0|METHYLPHENIDATE HYDROCHLORIDE |SUCROSE |STARCH, CORN |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |AMMONIO METHACRYLATE COPOLYMER TYPE B |METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER (1:1) TYPE A |TRIETHYL CITRATE |TALC |WATER |SILICON DIOXIDE |FD&C BLUE NO. 1 |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |D&C RED NO. 28 |D&C YELLOW NO. 10 |FD&C RED NO. 40 |D&C RED NO. 33 |FD&C RED NO. 3 |FD&C GREEN NO. 3 |FERROSOFERRIC OXIDE |||||||||
76|76|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CROSPOVIDONE, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |POVIDONE, UNSPECIFIED |STARCH, CORN |STEARIC ACID |TALC |D&C YELLOW NO. 10 |FD&C YELLOW NO. 6 |FD&C GREEN NO. 3 |FD&C RED NO. 40 |GELATIN, UNSPECIFIED |TITANIUM DIOXIDE |PROPYLENE GLYCOL |HYPROMELLOSE 2910 (6 MPA.S) |FD&C RED NO. 3 |FD&C BLUE NO. 1 |||||||||||
77|77|Butalbital |Acetaminophen |Caffeine |Codeine Phosphate |FD&C Blue No. 1 |FD&C Red No. 3 |FD&C Red No. 40 |FD&C Yellow No. 5 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |Sodium Lauryl Sulfate |Stearic Acid |Talc |Titanium Dioxide ||||||||||||||||
78|78|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CODEINE PHOSPHATE |FD&C Blue No. 1 |FD&C Red No. 3 |FD&C Red No. 40 |FD&C Yellow No. 5 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |Sodium Lauryl Sulfate |Stearic Acid |Talc |Titanium Dioxide ||||||||||||||||
79|79|Butalbital |Acetaminophen |Caffeine |Codeine Phosphate |FD&C Blue No. 1 |FD&C Red No. 3 |FD&C Red No. 40 |FD&C Yellow No. 5 |Gelatin |Cellulose, Microcrystalline |Sodium Lauryl Sulfate |Stearic Acid |Talc |Titanium Dioxide ||||||||||||||||
80|80|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CODEINE PHOSPHATE |FD&C BLUE NO. 1 |FD&C RED NO. 3 |FD&C RED NO. 40 |FD&C YELLOW NO. 5 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |SODIUM LAURYL SULFATE |STEARIC ACID |TALC |TITANIUM DIOXIDE ||||||||||||||||
81|81|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CODEINE PHOSPHATE |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |STEARIC ACID |SODIUM LAURYL SULFATE |TALC |TITANIUM DIOXIDE ||||||||||||||||
82|82|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CODEINE PHOSPHATE |FERROSOFERRIC OXIDE |SILICON DIOXIDE |FD&C BLUE NO. 1 |GELATIN |MAGNESIUM STEARATE |STARCH, CORN |SODIUM LAURYL SULFATE |TITANIUM DIOXIDE ||||||||||||||||||
83|83|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CODEINE PHOSPHATE |FD&C BLUE NO. 1 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |SODIUM LAURYL SULFATE |STEARIC ACID |TALC |TITANIUM DIOXIDE |||||||||||||||||
84|84|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CODEINE PHOSPHATE |FD&C BLUE NO. 1 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |SODIUM LAURYL SULFATE |STEARIC ACID |TALC |TITANIUM DIOXIDE |||||||||||||||||
85|85|CODEINE PHOSPHATE |BUTALBITAL |CAFFEINE |ACETAMINOPHEN |SILICON DIOXIDE |MAGNESIUM STEARATE |STARCH, CORN |D&C RED NO. 33 |FD&C BLUE NO. 1 |GELATIN |TITANIUM DIOXIDE |D&C RED NO. 7 ||||||||||||||||||
86|86|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CODEINE PHOSPHATE |SILICON DIOXIDE |MAGNESIUM STEARATE |STARCH, CORN |D&C RED NO. 33 |FD&C BLUE NO. 1 |GELATIN, UNSPECIFIED |TITANIUM DIOXIDE |D&C RED NO. 7 ||||||||||||||||||
87|87|Butalbital |Aspirin |Caffeine |Cellulose, Microcrystalline |Starch, Corn |Sodium Starch Glycolate Type A Potato |Silicon Dioxide |Talc |Hydrogenated Cottonseed Oil |||||||||||||||||||||
88|88|BUTALBITAL |ASPIRIN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |TALC |HYDROGENATED COTTONSEED OIL |STARCH, CORN ||||||||||||||||||||||
89|89|BUTALBITAL |ASPIRIN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |TALC |HYDROGENATED COTTONSEED OIL |STARCH, CORN ||||||||||||||||||||||
90|90|BUTALBITAL |ASPIRIN |CAFFEINE |STARCH, CORN |CELLULOSE, MICROCRYSTALLINE |TALC ||||||||||||||||||||||||
91|91|BUTALBITAL |ASPIRIN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |TALC |D&C YELLOW NO. 10 |FD&C GREEN NO. 3 |GELATIN |FERRIC OXIDE RED ||||||||||||||||||||
92|92|           |||||||||||||||||||||||||||||
93|93|BUTALBITAL |ASPIRIN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |TALC |D&C YELLOW NO. 10 |FD&C GREEN NO. 3 |GELATIN |FERRIC OXIDE RED ||||||||||||||||||||
94|94|BUTALBITAL |ASPIRIN |CAFFEINE |STARCH, CORN |MICROCRYSTALLINE CELLULOSE |SODIUM STARCH GLYCOLATE TYPE A POTATO |TRIMYRISTIN |TALC |SILICON DIOXIDE |D&C YELLOW NO. 10 |FD&C GREEN NO. 3 |GELATIN, UNSPECIFIED |SHELLAC |ALCOHOL |FERROSOFERRIC OXIDE |BUTYL ALCOHOL |PROPYLENE GLYCOL |METHYL ALCOHOL |FD&C BLUE NO. 2 |ALUMINUM OXIDE |FD&C RED NO. 40 |FD&C BLUE NO. 1 ||||||||
95|95|BUTALBITAL |ASPIRIN |CAFFEINE |STARCH, CORN |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |TRIMYRISTIN |TALC |SILICON DIOXIDE |D&C YELLOW NO. 10 |FD&C GREEN NO. 3 |GELATIN |SHELLAC |ALCOHOL |FERROSOFERRIC OXIDE |BUTYL ALCOHOL |PROPYLENE GLYCOL |METHYL ALCOHOL |FD&C BLUE NO. 2 |ALUMINUM OXIDE |FD&C RED NO. 40 |FD&C BLUE NO. 1 ||||||||
96|96|BUTALBITAL |ASPIRIN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |TALC |D&C YELLOW NO. 10 |FD&C GREEN NO. 3 |GELATIN |FERRIC OXIDE RED ||||||||||||||||||||
97|97|BUTALBITAL |ASPIRIN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |TALC |D&C YELLOW NO. 10 |FD&C GREEN NO. 3 |GELATIN |FERRIC OXIDE RED ||||||||||||||||||||
98|98|butalbital |aspirin |caffeine |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |talc |D&C YELLOW NO. 10 |FD&C GREEN NO. 3 |gelatin |FERRIC OXIDE RED ||||||||||||||||||||
99|99|BUTALBITAL |ASPIRIN |CAFFEINE |CODEINE PHOSPHATE ||||||||||||||||||||||||||
100|100|Butalbital |Aspirin |Caffeine |Codeine Phosphate |Starch, Corn |D&C Red No. 28 |D&C Yellow No. 10 |FD&C Blue No. 1 |FD&C Red No. 40 |Gelatin, Unspecified |Microcrystalline Cellulose |Sodium Lauryl Sulfate |Stearic Acid |Talc |Titanium Dioxide |||||||||||||||
101|101|CODEINE PHOSPHATE |BUTALBITAL |CAFFEINE |ASPIRIN |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |TALC |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C RED NO. 3 |FD&C YELLOW NO. 6 |GELATIN |TITANIUM DIOXIDE |FERRIC OXIDE RED ||||||||||||||||
102|102|BUTALBITAL |ASPIRIN |CAFFEINE |CODEINE PHOSPHATE |Starch, Corn |D&C Red No. 28 |D&C Yellow No. 10 |FD&C Blue No. 1 |FD&C Red No. 40 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |Sodium Lauryl Sulfate |Stearic Acid |Talc |Titanium Dioxide |||||||||||||||
103|103|BUTALBITAL |ASPIRIN |CAFFEINE |CODEINE PHOSPHATE |D&C YELLOW NO. 10 |ALUMINUM OXIDE |D&C RED NO. 33 |D&C RED NO. 28 |FD&C BLUE NO. 1 |FD&C BLUE NO. 2 |FD&C RED NO. 40 |GELATIN |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |TALC |TITANIUM DIOXIDE |STEARIC ACID |SILICON DIOXIDE ||||||||||||
104|104|BUTALBITAL |ASPIRIN |CAFFEINE |CODEINE PHOSPHATE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |TALC |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C RED NO. 3 |FD&C YELLOW NO. 6 |GELATIN |TITANIUM DIOXIDE |FERRIC OXIDE RED ||||||||||||||||
105|105|Codeine Phosphate |Butalbital |Caffeine |Aspirin |Gelatin |Talc |Titanium Dioxide |Stearic Acid ||||||||||||||||||||||
106|106|Butalbital |Aspirin |Caffeine |Codeine Phosphate |MICROCRYSTALLINE CELLULOSE |STARCH, CORN |silicon dioxide |stearic acid |D&C Yellow No. 10 |FD&C Yellow No. 6 |FD&C Blue No. 1 |D&C Red No. 33 |D&C Red No. 28 |GELATIN, UNSPECIFIED |Titanium Dioxide |Ferrosoferric Oxide ||||||||||||||
107|107|BUTALBITAL |ASPIRIN |CAFFEINE |CODEINE PHOSPHATE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |TALC |GELATIN |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C RED NO. 3 |FD&C YELLOW NO. 6 |TITANIUM DIOXIDE |FERRIC OXIDE RED ||||||||||||||||
108|108|CODEINE PHOSPHATE |BUTALBITAL |CAFFEINE |ASPIRIN |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |TALC |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C RED NO. 3 |FD&C YELLOW NO. 6 |GELATIN |TITANIUM DIOXIDE |FERRIC OXIDE RED ||||||||||||||||
109|109|CAFFEINE |SODIUM BENZOATE |HYDROCHLORIC ACID |SODIUM HYDROXIDE |WATER |||||||||||||||||||||||||
110|110|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |TRISODIUM CITRATE DIHYDRATE |WATER ||||||||||||||||||||||||||
111|111|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |TRISODIUM CITRATE DIHYDRATE |WATER ||||||||||||||||||||||||||
112|112|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |TRISODIUM CITRATE DIHYDRATE |WATER ||||||||||||||||||||||||||
113|113|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |SODIUM CITRATE |||||||||||||||||||||||||||
114|114|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |TRISODIUM CITRATE DIHYDRATE |WATER ||||||||||||||||||||||||||
115|115|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |SODIUM CITRATE |WATER ||||||||||||||||||||||||||
116|116|CAFFEINE CITRATE |SODIUM CITRATE |CITRIC ACID MONOHYDRATE |||||||||||||||||||||||||||
117|117|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |TRISODIUM CITRATE DIHYDRATE |WATER ||||||||||||||||||||||||||
118|118|CAFFEINE CITRATE |SODIUM CITRATE |CITRIC ACID MONOHYDRATE |||||||||||||||||||||||||||
119|119|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |TRISODIUM CITRATE DIHYDRATE |WATER ||||||||||||||||||||||||||
120|120|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |TRISODIUM CITRATE DIHYDRATE |WATER ||||||||||||||||||||||||||
121|121|Caffeine Citrate |Citric Acid Monohydrate |Sodium Citrate |Water ||||||||||||||||||||||||||
122|122|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |SODIUM CITRATE |WATER ||||||||||||||||||||||||||
123|123|caffeine citrate |citric acid monohydrate |trisodium citrate dihydrate |water ||||||||||||||||||||||||||
124|124|CAFFEINE CITRATE |CITRIC ACID MONOHYDRATE |TRISODIUM CITRATE DIHYDRATE |WATER ||||||||||||||||||||||||||
125|125|CODEINE PHOSPHATE |BUTALBITAL |CAFFEINE |ACETAMINOPHEN |SILICON DIOXIDE |MAGNESIUM STEARATE |STARCH, CORN |D&C RED NO. 33 |FD&C BLUE NO. 1 |GELATIN |TITANIUM DIOXIDE |D&C RED NO. 7 ||||||||||||||||||
126|126|DEXMETHYLPHENIDATE HYDROCHLORIDE |POLYETHYLENE GLYCOL 4000 |WATER |METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER (1:1) TYPE A |METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1) |TRIETHYL CITRATE |TALC |ISOPROPYL ALCOHOL |FERRIC OXIDE YELLOW |TITANIUM DIOXIDE |GELATIN |SHELLAC |FERROSOFERRIC OXIDE |BUTYL ALCOHOL |1-PROPOXY-2-PROPANOL |FD&C BLUE NO. 1 |FD&C BLUE NO. 2 |FD&C RED NO. 40 |D&C YELLOW NO. 10 |POLYETHYLENE GLYCOL 400 |FD&C RED NO. 3 |FD&C YELLOW NO. 6 ||||||||
127|127|DEXMETHYLPHENIDATE HYDROCHLORIDE |ACETYLTRIBUTYL CITRATE |ETHYLCELLULOSES |HYPROMELLOSES |HYPROMELLOSE ACETATE SUCCINATE 06081224 (3 MM2/S) |SUCROSE |STARCH, CORN |TALC |GELATIN |FERROSOFERRIC OXIDE |SHELLAC |POTASSIUM HYDROXIDE |PROPYLENE GLYCOL |TITANIUM DIOXIDE |FD&C BLUE NO. 1 |||||||||||||||
128|128|DEXMETHYLPHENIDATE HYDROCHLORIDE |ACETYLTRIBUTYL CITRATE |ETHYLCELLULOSES |HYPROMELLOSES |HYPROMELLOSE ACETATE SUCCINATE 06081224 (3 MM2/S) |SUCROSE |STARCH, CORN |TALC |TITANIUM DIOXIDE |GELATIN |FERROSOFERRIC OXIDE |SHELLAC |POTASSIUM HYDROXIDE |PROPYLENE GLYCOL |D&C RED NO. 28 |FD&C BLUE NO. 1 |AMARANTH |FD&C RED NO. 3 |D&C RED NO. 33 |||||||||||
129|129|DEXMETHYLPHENIDATE HYDROCHLORIDE |SUCROSE |METHACRYLIC ACID |TRIETHYL CITRATE |TALC |SILICON DIOXIDE |HYPROMELLOSE, UNSPECIFIED |POLYDEXTROSE |TRIACETIN |POLYETHYLENE GLYCOL, UNSPECIFIED |FD&C YELLOW NO. 6 |FD&C BLUE NO. 2 |TITANIUM DIOXIDE |GELATIN ||||||||||||||||
130|130|DEXMETHYLPHENIDATE HYDROCHLORIDE |FD&C BLUE NO. 1 |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |D&C YELLOW NO. 10 |||||||||||||||||||||||
131|131|DEXMETHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |SODIUM STARCH GLYCOLATE TYPE A POTATO |TALC |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |D&C YELLOW NO. 10 |||||||||||||||||||||||
132|132|DEXMETHYLPHENIDATE HYDROCHLORIDE |AMMONIO METHACRYLATE COPOLYMER TYPE B |GELATIN, UNSPECIFIED |HYPROMELLOSE, UNSPECIFIED |METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1) |SODIUM LAURYL SULFATE |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |FD&C BLUE NO. 2 |AMMONIA |PROPYLENE GLYCOL |SHELLAC |SUCROSE |STARCH, CORN |FERRIC OXIDE RED |FERROSOFERRIC OXIDE |FERRIC OXIDE YELLOW |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C RED NO. 40 |||||||||
133|133|DEXMETHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |MICROCRYSTALLINE CELLULOSE |SODIUM STARCH GLYCOLATE TYPE A POTATO |STARCH, CORN |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |ALUMINUM OXIDE |D&C YELLOW NO. 10 |||||||||||||||||||||
134|134|DEXMETHYLPHENIDATE HYDROCHLORIDE |FERRIC OXIDE YELLOW |GELATIN |POLYETHYLENE GLYCOL |DEXTROSE |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |FD&C BLUE NO. 2 |||||||||||||||||||||
135|135|DEXMETHYLPHENIDATE HYDROCHLORIDE |FD&C BLUE NO. 1 |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |SODIUM STARCH GLYCOLATE TYPE A POTATO |D&C YELLOW NO. 10 ||||||||||||||||||||||
136|136|DEXMETHYLPHENIDATE HYDROCHLORIDE |AMMONIO METHACRYLATE COPOLYMER TYPE B |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C BLUE NO. 2 |INDIGOTINDISULFONATE SODIUM |FD&C RED NO. 40 |GELATIN, UNSPECIFIED |HYPROMELLOSE 2208 (3 MPA.S) |FERROSOFERRIC OXIDE |METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1) |STARCH, CORN |SUCROSE |POLYETHYLENE GLYCOL 6000 |PROPYLENE GLYCOL |SHELLAC |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |FD&C GREEN NO. 3 ||||||||||
137|137|DEXMETHYLPHENIDATE HYDROCHLORIDE |AMMONIO METHACRYLATE COPOLYMER TYPE A |FD&C BLUE NO. 2 |GELATIN, UNSPECIFIED |METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1) |POLYETHYLENE GLYCOL, UNSPECIFIED |DEXTROSE, UNSPECIFIED FORM |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |FERRIC OXIDE YELLOW |||||||||||||||||||
138|138|DEXMETHYLPHENIDATE HYDROCHLORIDE |ANHYDROUS LACTOSE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |D&C YELLOW NO. 10 |||||||||||||||||||||||
139|139|DEXMETHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |STARCH, CORN |SODIUM STARCH GLYCOLATE TYPE A POTATO |FD&C BLUE NO. 1 |D&C YELLOW NO. 10 ||||||||||||||||||||||
140|140|DEXMETHYLPHENIDATE HYDROCHLORIDE |ANHYDROUS CITRIC ACID |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |SODIUM STARCH GLYCOLATE TYPE A POTATO |FD&C BLUE NO. 1 |D&C YELLOW NO. 10 |||||||||||||||||||||
141|141|DEXMETHYLPHENIDATE HYDROCHLORIDE |ACETYLTRIBUTYL CITRATE |ETHYLCELLULOSES |HYPROMELLOSES |HYPROMELLOSE ACETATE SUCCINATE 06081224 (3 MM2/S) |SUCROSE |STARCH, CORN |TALC |TITANIUM DIOXIDE |GELATIN |FERROSOFERRIC OXIDE |SHELLAC |POTASSIUM HYDROXIDE |PROPYLENE GLYCOL |D&C RED NO. 28 |FD&C BLUE NO. 1 |AMARANTH |FD&C RED NO. 3 |D&C RED NO. 33 |||||||||||
142|142|DEXMETHYLPHENIDATE HYDROCHLORIDE |ANHYDROUS LACTOSE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |SODIUM STARCH GLYCOLATE TYPE A POTATO |FD&C BLUE NO. 2 |D&C YELLOW NO. 10 |SILICON DIOXIDE ||||||||||||||||||||
143|143|DEXMETHYLPHENIDATE HYDROCHLORIDE |AMMONIO METHACRYLATE COPOLYMER TYPE A |GELATIN |METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1) |POLYETHYLENE GLYCOLS |DEXTROSE |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |||||||||||||||||||||
144|144|DEXMETHYLPHENIDATE HYDROCHLORIDE |FD&C BLUE NO. 2 |FERRIC OXIDE YELLOW |GELATIN |POLYETHYLENE GLYCOL |DEXTROSE |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |||||||||||||||||||||
145|145|DEXMETHYLPHENIDATE HYDROCHLORIDE |FERRIC OXIDE YELLOW |GELATIN |POLYETHYLENE GLYCOL |DEXTROSE |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |FD&C BLUE NO. 2 |||||||||||||||||||||
146|146|DEXTROAMPHETAMINE SULFATE |ANHYDROUS CITRIC ACID |BENZOIC ACID |SACCHARIN |SODIUM CITRATE |SORBITOL |WATER |||||||||||||||||||||||
147|147|DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE MONOHYDRATE |DEXTROAMPHETAMINE SULFATE |AMPHETAMINE SULFATE |MICROCRYSTALLINE CELLULOSE |SILICON DIOXIDE |POVIDONE, UNSPECIFIED |STEARIC ACID ||||||||||||||||||||||
148|148|DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE MONOHYDRATE |DEXTROAMPHETAMINE SULFATE |AMPHETAMINE SULFATE |FD&C BLUE NO. 1 |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |STARCH, CORN |FD&C YELLOW NO. 6 |||||||||||||||||||||
149|149|DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE |DEXTROAMPHETAMINE SULFATE |AMPHETAMINE SULFATE |CELLULOSE, MICROCRYSTALLINE |SILICON DIOXIDE |POVIDONE |STEARIC ACID ||||||||||||||||||||||
